stimulus,seconddur,milliseconddur,syllables,speech_rate,pitAve_Hz,pitAve_semi,pitSD_Hz,pitSD_semi,pitMax_Hz,pitMin_Hz,pitMax_semi,pitMin_semi,creak,n_creaky_seg,creak_seconddur_total,prop_creak,NC_pitAve_Hz,NC_pitAve_semi,NC_pitSD_Hz,NC_pitSD_semi,NC_pitMax_Hz,NC_pitMin_Hz,NC_pitMax_semi,NC_pitMin_semi,s_seconddur,s_milliseconddur,f2_raw,f2_norm,vowel,vowel_class,cog,sdev,skew,kurt
audio/723_SN4_mid.wav,1.2728125,1272.8125,7,5.499631721,109.8664331,1.479362186,14.09501127,2.340028818,128.9458085,70.2794394,4.40117853,-6.105904938,No,0,0,0,109.8664331,1.479362186,14.09501127,2.340028818,128.9458085,70.2794394,4.40117853,-6.105904938,0.128541667,128.5416667,1634.243504,0.069198048,u,back,6924.070828,1391.062935,1.081267583,2.596122282
audio/723_SN4_low.wav,1.2728125,1272.8125,7,5.499631721,109.5345086,1.428272648,14.00135538,2.329713207,129.4547357,70.2794394,4.46937291,-6.105904938,No,0,0,0,109.5345086,1.428272648,14.00135538,2.329713207,129.4547357,70.2794394,4.46937291,-6.105904938,0.128541667,128.5416667,1634.243504,0.069198048,u,back,5660.636562,2168.474511,0.718187768,0.45342654
audio/723_SN4_high.wav,1.2728125,1272.8125,7,5.499631721,109.509847,1.424830065,13.9742031,2.326318175,128.768374,70.2794394,4.37733967,-6.105904938,No,0,0,0,109.509847,1.424830065,13.9742031,2.326318175,128.768374,70.2794394,4.37733967,-6.105904938,0.128541667,128.5416667,1634.243504,0.069198048,u,back,8211.214301,2536.674008,-0.721734424,0.487498407
audio/723_SN3_mid.wav,1.2965625,1296.5625,7,5.398891299,98.58131797,-0.299976927,7.747432719,1.361327223,111.0878517,85.42420354,1.820412675,-2.727398439,Yes,1,0.125193,0.096557628,98.73004956,-0.273474181,7.717950337,1.35711701,111.0007597,85.42071438,1.806834608,-2.728105579,0.098833333,98.83333333,1873.114363,0.795827696,eɪ,front,6924.070828,1391.062935,1.081267583,2.596122282
audio/723_SN3_low.wav,1.2965625,1296.5625,7,5.398891299,98.58099361,-0.300031934,7.747279566,1.361300504,111.0878517,85.42420354,1.820412675,-2.727398439,Yes,1,0.125193,0.096557628,98.72928921,-0.273605313,7.717783354,1.357083751,111.0007597,85.42071438,1.806834608,-2.728105579,0.098833333,98.83333333,1873.114363,0.795827696,eɪ,front,5660.636562,2168.474511,0.718187768,0.45342654
audio/723_SN3_high.wav,1.2965625,1296.5625,7,5.398891299,98.58188633,-0.29987865,7.747546217,1.361350901,111.0878517,85.42420354,1.820412675,-2.727398439,Yes,1,0.125193,0.096557628,98.72941085,-0.273584331,7.717809793,1.357089026,111.0007597,85.42071438,1.806834608,-2.728105579,0.098833333,98.83333333,1873.114363,0.795827696,eɪ,front,8211.214301,2536.674008,-0.721734424,0.487498407
audio/723_SN21_mid.wav,1.297833333,1297.833333,8,6.164119687,100.0302629,-0.0382994,7.207081623,1.232206437,121.4135634,84.79096923,3.359155177,-2.856209736,No,0,0,0,100.0302629,-0.0382994,7.207081623,1.232206437,121.4135634,84.79096923,3.359155177,-2.856209736,0.088833333,88.83333333,2095.321159,1.471766345,i,front,6924.070828,1391.062935,1.081267583,2.596122282
audio/723_SN21_low.wav,1.297833333,1297.833333,8,6.164119687,99.88419243,-0.063164824,7.166994484,1.225736887,121.4135634,84.79096923,3.359155177,-2.856209736,No,0,0,0,99.88419243,-0.063164824,7.166994484,1.225736887,121.4135634,84.79096923,3.359155177,-2.856209736,0.088833333,88.83333333,2095.321159,1.471766345,i,front,5660.636562,2168.474511,0.718187768,0.45342654
audio/723_SN21_high.wav,1.297833333,1297.833333,8,6.164119687,99.89272485,-0.06154671,7.156665536,1.223698101,121.4135634,84.79096923,3.359155177,-2.856209736,No,0,0,0,99.89272485,-0.06154671,7.156665536,1.223698101,121.4135634,84.79096923,3.359155177,-2.856209736,0.088833333,88.83333333,2095.321159,1.471766345,i,front,8211.214301,2536.674008,-0.721734424,0.487498407
audio/723_SN20_mid.wav,1.420479167,1420.479167,9,6.335890178,107.6472634,1.054210857,17.34014331,2.79286209,143.2433132,82.17364922,6.221613522,-3.399027102,Yes,3,0.14,0.098558292,108.2610625,1.144245598,17.68190167,2.853752566,143.3135176,82.20999346,6.230096319,-3.391371794,0.099604167,99.60416667,1531.078545,-0.244623059,ɛ,front,6924.070828,1391.062935,1.081267583,2.596122282
audio/723_SN20_low.wav,1.420479167,1420.479167,9,6.335890178,107.4217774,1.016631781,17.38459146,2.798937832,143.2436034,82.17364922,6.221648597,-3.399027102,Yes,3,0.14,0.098558292,108.2664284,1.145009172,17.68600048,2.854366303,143.3022961,82.20999346,6.22874071,-3.391371794,0.099604167,99.60416667,1531.078545,-0.244623059,ɛ,front,5660.636562,2168.474511,0.718187768,0.45342654
audio/723_SN20_high.wav,1.420479167,1420.479167,9,6.335890178,107.4221246,1.016675839,17.38519166,2.799007002,143.257946,82.17364922,6.223381948,-3.399027102,Yes,3,0.14,0.098558292,108.0307954,1.105749686,17.73912014,2.861864962,143.3368893,82.20999346,6.232919408,-3.391371794,0.099604167,99.60416667,1531.078545,-0.244623059,ɛ,front,8211.214301,2536.674008,-0.721734424,0.487498407
audio/723_SN2_mid.wav,1.2608125,1260.8125,7,5.551975413,106.9720109,0.718538609,24.96526336,3.966064434,168.9319006,59.52986557,9.077301458,-8.979773501,No,0,0,0,106.9720109,0.718538609,24.96526336,3.966064434,168.9319006,59.52986557,9.077301458,-8.979773501,0.074645833,74.64583333,1539.124346,-0.220148257,aʊ,back,6924.070828,1391.062935,1.081267583,2.596122282
